Control Host,Control Count,LGBT Host,LGBT Count
tcm.com,1592,tcm.com,1590
.telenet.be,1503,.telenet.be,1445
www.infoseek.co.jp,1091,.eluniversal.com.mx,1250
osu.edu,983,osu.edu,951
www.infoseek.co.jp,873,.dynatrace.com,776
www.realtor.com,826,lg.co.kr,695
.dynatrace.com,771,www.easyjet.com,559
lg.co.kr,687,fidelity.com,555
.nicovideo.jp,670,www.marshmclennan.com,521
.nytimes.com,653,www.kroger.com,517
.piano.io,648,www.realtor.com,463
.slickdeals.net,639,www.udel.edu,457
.netkeiba.com,605,.oregonlive.com,439
.theage.com.au,598,.alibaba.com,438
.nicovideo.jp,596,.elcorteingles.es,435
www.dnaindia.com,592,.www.walmart.ca,419
www.realtor.com,585,.kohls.com,419
www.japantimes.co.jp,581,.livehindustan.com,416
.fidelity.com,575,india.com,409
.pearson.com,569,.nicovideo.jp,404