UK LGBT Count,RU LGBT Count
10,28
1,28
54,35
44,29
44,73
44,240
20,74
47,43
47,184
65,175
28,30
17,6
3,69
3,65
27,2
1,158
8,2
12,18
37,18
18,68
116,66
116,64
25,64
53,57
42,57
21,57
17,33
44,13
13,37
9,69
65,68
118,123
150,3
141,138
58,99
2,23
138,40
6,19
58,110
61,106
40,118
1,6
1,218
1,216
8,209
49,208
49,188
60,106
59,104
76,83
232,60
1,58
5,30
17,25
13,21
24,19
93,148
28,52
,53
,11
,11
,107
,103
,101
,89
,12
,12
,50
,34
,2
,45
,43
,43
,105
,196
,23
,18
,42
,46
,49
,276
,9
,9
,5
,48
,43
,43
,42
,42
,86
,56
,43
,20
,54
,19
,138
,58
,145
,41
,2
,114
,30
,16
,73
,47
,161
,1
,5
,31
,37
,1
,65
,24
,113
,73
,25
,142
,60
,91
,11
,20
,2
,82
,21
,129
,107
,42
,43
,86
,19
,234
,44
,75
,67
,84
,187
,121
,59
,25
,46
,22
,82
,78
,63
,251
,72
,25
,1
,80